Ano,Nível de Ensino,Original
2004,Graduação,Ensino Superior: Graduação /Formação Continuada
2004,Ensino Médio,Não identificado * (Silvia vai verificar)
2004,Graduação,Curso de graduação em ciências em uma faculdade de artes liberais
2004,Graduação,Educação Básica; Graduação 
2004,Graduação,Ensino Superior
2004,Formação Continuada,Formação de Professores
2004,Graduação,10 th turma de Ciências Físicas
2004,Ensino Médio,Ensino Médio
2004,Graduação,Ensino Superior: Graduação
2004,Ensino Fundamental,Ensino secundário (Ensino fundamental)
2004,Formação Continuada,"Formação de Professores da Alemanha. Projeto ""Chik"" - Química no Contexto "
2004,Ensino Médio,"Pesquisa realizada com um professor estagiário do ensino médio, graduado em Física. O professor estava fazendo uma breve pós-graduação pedagógica sobre psicopedagogia e métodos de ensino de ciências"
2004,Ensino Médio,Ensino Médio
2004,Ensino Médio,Ensino Médio
2004,Graduação,Graduação
2004,Graduação,Graduação
2004,Não menciona,Não apresenta
2004,Graduação,Graduação (Licenciatura em Farmácia)
2004,Ensino Médio,Ensino Médio
2004,Graduação,Graduação 
2004,Não menciona,Não menciona
2004,Graduação,Engenharia Química
2004,Graduação,Professores e Estudantes da disciplina de Física I de um curso de graduação
2004,Ensino Médio,Ensino Médio
2004,Ensino Médio,Educação Básica e Média da Colombia (Projeto Conexiones)
2006,Ensino Médio,Educação Básica? (conetúdos de ciências)
2006,Ensino Médio,Ensino Médio 
2006,Ensino Fundamental,Ensino Fundamental
2006,Graduação,Graduação em Medicina
2006,Graduação,Graduação em Ciências
2006,Pós Graduação,Grupo de Professores que cursavam o Mestrado em Ensino-Aprendizagem de Física da Universidade Experimental Nacional de Táchira (México)
2006,Ensino Médio,Professores do Ensino Médio
2006,Ensino Médio,Ensino Médio
2006,Graduação,Ensino Superior
2006,Ensino Médio,Ensino Médio (Brasil)
2006,Graduação,Ensino Superior
2006,Ensino Médio,Educação Básica (Portuguesa)
2006,Ensino Médio,Ensino Médio
2006,Graduação,Ensino Superior
2008,Ensino Fundamental,Ensino Fundamental
2008,Ensino Médio,Ensino Médio
2008,Graduação,Ensino Superior
2008,Ensino Fundamental,Escola Secundário - Alunos 12 anos
2008,Ensino Médio,Ensino Médio
2008,Ensino Médio,Ensino Médio
2008,Graduação,Ensino Superior
2008,Graduação,Ensino Superior
2008,Ensino Médio,Ensino Médio
2008,Graduação,Graduação em Ciências (LICENCIATURA)
2008,Pós Graduação,Doutorado
2008,Não menciona,Não menciona
2008,Formação Continuada,Formação de professores / Formação Continuada
2008,Ensino Médio,Ensino médio 
2008,Formação Continuada,Formação de professores
2008,Ensino Fundamental,Ensino Fundamental (crianças de 13 a 15 anos na Alemanha)
2008,Ensino Fundamental,Ensino Fundamental 
2008,Pós Graduação,Mestrado e Doutorado em Ensino de Ciências
2008,Graduação,Ensino Superior
2008,Ensino Fundamental,9 série - Estônia
2008,Formação Continuada,Formação Continuada.
2008,Não menciona,Não menciona
2008,Formação Continuada,Programa de Formação de Professores (equipe de Química de uma escola)
2008,Graduação,Graduação
2008,Ensino Médio,Ensino Médio
2008,Ensino Médio,Ensino Médio
2008,Graduação,Licenciatura em Química
2010,Graduação,Graduação
2010,Ensino Médio,Ensino Médio
2010,Pós Graduação,Graduação e Mestrado
2010,Ensino Médio,Ensino Médio
2010,Pós Graduação,Mestrado
2010,Formação Continuada,Formação Continuada
2010,Formação Continuada,Formação Continuada
2010,Graduação,Graduação
2010,Graduação,Graduação
2010,Ensino Médio,Ensino Médio
2010,Ensino Médio,Ensino Médio
2010,Pós Graduação,Doutorado
2010,Graduação,Graduação
2010,Graduação,Graduação
2010,Formação Continuada,Formação inicial de professores
2010,Ensino Médio,Educação secundária
2010,Graduação,Graduação
2010,Graduação,Graduação
2010,Ensino Fundamental,Ensino Fundamental
2010,Graduação,Graduação
2010,Graduação,Graduação
2012,Ensino Fundamental,Educação Básica
2012,Graduação,Gradução
2012,Ensino Fundamental,Educação básica / escola secundária Alemã
2012,Graduação,Graduação
2012,Graduação,Graduação
2012,Pós Graduação,Mestrado
2012,Graduação,"Graduação, formação de professores "
2012,Graduação,Graduação
2012,Ensino Médio,Ensino Médio
2012,Ensino Médio,Ensino Médio
2012,Formação Continuada,Professores 
2012,Formação Continuada,"Formação continuada, Química"
2012,Graduação,Graduação (Bacharelado em Ciências Aplicadas)
2012,Graduação,Ensino superior/ Acadêmicos
2012,Ensino Médio,Ensino Médio
2012,Graduação,Graduação
2012,Ensino Médio,Ensino Médio
2012,Ensino Médio,"Educação básica, 2º ano do ensino médio"
2012,Ensino Médio,Ensino Médio
2012,Ensino Médio,Educação básica: Ensino Médio
2012,Graduação,Ensino Superior
2012,Formação Continuada,Formação docente 
2012,Formação Continuada,Formação continuada
2012,Ensino Médio,Ensino Médio
2012,Graduação,"Graduação, Acadêmicos do 1º ano"
2012,Pós Graduação,Pós- Graduação -Mestrado 
2014,Graduação,Graduação
2014,Graduação,Ensino Superior
2014,Graduação,Ensino Superior
2014,Ensino Médio,Ensino Médio
2014,Ensino Médio,Ensino Médio
2014,Graduação,Graduação
2014,Ensino Médio,Ensino Médio
2014,Ensino Médio,Ensino Médio
2014,Graduação,Graduação
2014,Graduação,Bacharelado em Ciências Biológicas
2014,Graduação,Licenciatura 
2014,Não menciona,Não menciona
