Ano,Pais
2004,Malaysia
2004,Mexico
2004,United States
2004,Sweden
2004,United States
2004,Spain
2004,Spain
2004,United States
2004,Finland
2004,Canada
2004,Spain
2004,Venezuela
2004,Argentina
2004,Spain
2004,Costa Rica
2004,Germany
2004,Italy
2004,Spain
2004,Italy
2004,Spain
2004,Spain
2004,Spain
2004,Spain
2004,United States
2004,Italy
2004,Spain
2004,Portugal
2004,Spain
2004,Mexico
2004,Argentina
2004,Spain
2004,United States
2004,Mexico
2004,Venezuela
2004,Spain
2004,Venezuela
2004,Portugal
2004,Colombia
2006,India
2006,Mexico
2006,United States
2006,United States
2006,Brazil
2006,United States
2006,United States
2006,Venezuela
2006,India
2006,Argentina
2006,Italy
2006,United States
2006,Malaysia
2006,United States
2006,Spain
2006,Spain
2006,United States
2006,Australia
2006,Brazil
2006,Argentina
2006,Colombia
2006,Mexico
2006,United States
2006,Brazil
2006,Italy
2006,Colombia
2006,Venezuela
2006,Portugal
2006,United States
2006,United States
2006,Spain
2008,Japan
2008,Mexico
2008,United States
2008,Brazil
2008,Italy
2008,Japan
2008,Germany
2008,Germany
2008,Portugal
2008,Spain
2008,Brazil
2008,Finland
2008,Panama
2008,Colombia
2008,Sweden
2008,India
2008,Germany
2008,United States
2008,Finland
2008,United Kingdom
2008,Finland
2008,United States
2008,Sweden
2008,Estonia
2008,Germany
2008,Germany
2008,Estonia
2008,Colombia
2008,Portugal
2008,Ireland
2008,Estonia
2008,Singapore
2008,Estonia
2008,Finland
2008,United States
2008,Turkey
2008,United States
2008,Panama
2008,Mexico
2008,Australia
2008,Ireland
2008,Mexico
2008,Spain
2008,Italy
2008,Spain
2008,Brazil
2008,United States
2008,Mexico
2008,Spain
2008,Italy
2008,Germany
2008,Mexico
2008,Venezuela
2008,Iran
2008,Spain
2008,Germany
2008,Turkey
2010,Brazil
2010,United States
2010,Spain
2010,Brazil
2010,United States
2010,United States
2010,Estonia
2010,Argentina
2010,Spain
2010,Brazil
2010,Costa Rica
2010,United Kingdom
2010,Colombia
2010,United States
2010,Belgium
2010,Brazil
2010,Italy
2010,Estonia
2010,United States
2010,Estonia
2010,United Kingdom
2010,Finland
2010,Italy
2010,Brazil
2010,Brazil
2010,Brazil
2010,Costa Rica
2010,Mexico
2010,Greece
2010,Finland
2010,United States
2010,Spain
2010,Colombia
2010,Belgium
2010,Canada
2010,Argentina
2010,Brazil
2010,United States
2010,Brazil
2010,Brazil
2010,Mexico
2012,Estonia
2012,United States
2012,Germany
2012,Italy
2012,Colombia
2012,Brazil
2012,Brazil
2012,Spain
2012,Spain
2012,United States
2012,Venezuela
2012,Malta
2012,United States
2012,Brazil
2012,United States
2012,United States
2012,Netherlands
2012,Spain
2012,Mexico
2012,Spain
2012,Germany
2012,Malta
2012,Spain
2012,Brazil
2012,Argentina
2012,Argentina
2012,Spain
2012,Spain
2012,Costa Rica
2012,Spain
2012,Spain
2012,Spain
2012,Brazil
2012,Iran
2012,Spain
2014,Brazil
2014,Spain
2014,Mexico
2014,Mexico
2014,Estonia
2014,Switzerland
2014,Italy
2014,Brazil
2014,Brazil
2014,Brazil
2014,Brazil
2014,United States
2014,United Kingdom
2014,Brazil
2014,Brazil
2014,Brazil
2014,Brazil
2014,Brazil
2014,Brazil
2014,Brazil
2014,United States
2014,Mexico
2014,Spain
2014,Spain
2014,Brazil
2014,Brazil
2014,Spain
2014,Brazil
2014,Brazil
2014,Brazil
2014,Spain
2014,Spain
2014,Brazil
2014,Brazil
2014,Brazil
2014,Brazil
2014,Mexico
2014,Spain
2014,Spain
2014,United States
2016,Mexico
2016,Italy
2016,Switzerland
2016,United Kingdom
2016,Mexico
2016,Spain
2016,Brazil
2016,Spain
2016,Japan
2016,Italy
2016,Italy
2016,Japan
2016,Brazil
2016,United States
2016,Switzerland
2016,Greece
2016,Spain
2016,Finland
2016,Portugal
2016,Brazil
2018,Australia
2018,Mexico
2018,Brazil
2018,China
2018,Brazil
2018,Colombia
2018,Estonia
2018,Estonia
2018,Spain
2018,Mexico
2018,Costa Rica
2018,Estonia
2018,Brazil
2018,Brazil
2018,Brazil
2018,Uruguay
2018,Panama
2018,Colombia
2018,Colombia
2018,Spain
2018,Spain
2018,Mexico
2018,Portugal
2018,Portugal
