Ano,Área
2004,Biologia
2004,Biologia
2004,Ciências
2004,Ciências
2004,Interdisciplinar
2004,Biologia
2004,Interdisciplinar
2004,Física
2004,Física
2004,Interdisciplinar
2004,Química
2004,Física
2004,Ciências
2004,Ciências
2004,Interdisciplinar
2004,Interdisciplinar
2004,Interdisciplinar
2004,Química
2004,Ciências
2004,Física
2004,Ciências
2004,Química
2004,Física
2004,Física
2004,Ciências
2006,Ciências
2006,Biologia
2006,Ciências
2006,Interdisciplinar
2006,Ciências
2006,Física
2006,Química
2006,Física
2006,Física
2006,Interdisciplinar
2006,Química
2006,Interdisciplinar
2006,Não menciona
2006,Física
2008,Ciências
2008,Biologia
2008,Biologia
2008,Ciências
2008,Química
2008,Interdisciplinar
2008,Biologia
2008,Biologia
2008,Química
2008,Interdisciplinar
2008,Física
2008,Interdisciplinar
2008,Química
2008,Física
2008,Química
2008,Física
2008,Interdisciplinar
2008,Física
2008,Biologia
2008,Química
2008,Interdisciplinar
2008,Química
2008,Química
2008,Interdisciplinar
2008,Química
2008,Química
2010,Interdisciplinar
2010,Ciências
2010,Física
2010,Ciências
2010,Ciências
2010,Interdisciplinar
2010,Ciências
2010,Ciências
2010,Química
2010,Ciências
2010,Química
2010,Ciências
2010,Química
2010,Não menciona
2010,Química
2010,Ciências
2010,Biologia
2010,Química
2010,Ciências
2010,Ciências
2012,Química
2012,Física
2012,Física
2012,Ciências
2012,Física
2012,Física
2012,Ciências
2012,Física
2012,Biologia
2012,Física
2012,Ciências
2012,Química
2012,Ciências
2012,Física
2012,Biologia
2012,Física
2012,Biologia
2012,Química
2012,Física
2012,Interdisciplinar
2012,Não menciona
2012,Não menciona
2012,Interdisciplinar
2012,Interdisciplinar
2012,Química
2012,Interdisciplinar
2014,Química
2014,Biologia
2014,Biologia
2014,Interdisciplinar
2014,Biologia
2014,Biologia
2014,Química
2014,Física
2014,Química
2014,Biologia
2014,Biologia
2014,Química
2014,Química
2014,Física
2014,Biologia
2014,Química
2014,Química
2014,Biologia
2014,Química
2014,Biologia
2014,Física
2016,Química
2016,Ciências
2016,Ciências
2016,Ciências
2016,Ciências
2016,Não menciona
2016,Física
2016,Química
2018,Biologia
2018,Ciências
2018,Química
2018,Ciências
2018,Ciências
2018,Biologia
2018,Biologia
2018,Ciências
2018,Não menciona
2018,Biologia
